Symbol\Weightage,['apr12']
SUNPHARMA,3.07
TCS,4.71
TATAMTRDVR,0.52
TATAMOTORS,2.76
TATAPOWER,0.45
TATASTEEL,0.82
TECHM,1.05
ULTRACEMCO,1.12
WIPRO,1.24
YESBANK,1.08
ZEEL,0.79
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
Symbol\Weightage,['apr17.zip']
ACC,0.39
ADANIPORTS,0.76
AMBUJACEM,0.52
ASIANPAINT,1.45
AUROPHARMA,0.49
AXISBANK,2.49
BAJAJ-AUTO,1.12
BANKBARODA,0.51
BPCL,1.08
BHARTIARTL,1.35
INFRATEL,0.53
BOSCHLTD,0.60
CIPLA,0.81
COALINDIA,1.04
DRREDDY,0.90
EICHERMOT,1.00
GAIL,0.78
GRASIM,1.07
HCLTECH,1.32
HDFCBANK,8.98
HEROMOTOCO,1.22
HINDALCO,0.83
HINDUNILVR,1.92
HDFC,7.00
ITC,6.78
ICICIBANK,4.66
IBULHSGFIN,0.94
IOC,1.29
INDUSINDBK,2.08
INFY,5.27
KOTAKBANK,3.10
LT,4.12
LUPIN,0.92
M&M,1.79
MARUTI,2.49
NTPC,1.17
ONGC,1.51
POWERGRID,1.31
RELIANCE,6.63
SBIN,2.65
SUNPHARMA,2.03
TCS,3.47
TATAMTRDVR,0.41
TATAMOTORS,2.47
TATAPOWER,0.44
TATASTEEL,0.86
TECHM,0.75
ULTRACEMCO,1.27
WIPRO,0.90
YESBANK,1.71
ZEEL,0.83
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
Symbol\Weightage,['apr18.zip']
ADANIPORTS,0.68
ASIANPAINT,1.28
AXISBANK,2.10
BAJAJ-AUTO,0.95
BAJFINANCE,1.07
BAJAJFINSV,0.78
BPCL,0.72
BHARTIARTL,1.28
INFRATEL,0.63
CIPLA,0.73
COALINDIA,0.88
DRREDDY,0.60
EICHERMOT,0.99
GAIL,0.68
GRASIM,1.02
HCLTECH,1.39
HDFCBANK,9.42
HEROMOTOCO,1.15
HINDALCO,0.81
HINDPETRO,0.54
HINDUNILVR,2.55
HDFC,7.46
ITC,5.68
ICICIBANK,4.32
IBULHSGFIN,1.00
IOC,0.82
INDUSINDBK,2.29
INFY,5.39
KOTAKBANK,3.82
LT,4.09
LUPIN,0.46
M&M,1.93
MARUTI,2.77
